,error_ractions,error_info
0,S(=O)(=O)(c1ccc(C)cc1)n2cc(c3cncc(N4CCNC[C@@H]4C(=O)NCC(F)(F)F)n3)c(cc(Cl)cn5)c25.Cl>>C(F)(F)(F)C(=O)O.c1(c[nH]c(ncc(Cl)c2)c12)c3cncc(N4CCN(S(C)(=O)=O)C[C@@H]4C(=O)NCC(F)(F)F)n3,Ignored this reaction
1,C1(CCC(C=NO)CC1)C(=O)OC>>C1(CCC(C(=O)OC)CC1)c2noc(C)c2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
2,c1(ccc(N)cc1)C(=N)N.Cl[H]>>S(C)(=O)(=O)O.c12c(nc(CNc3ccc(C(N)=NC(=O)OCCCCCC)cc3)n1C)cc(C(=O)N(CCC(=O)OCC)c4ccccn4)cc2,Ignored this reaction
3,c12c(ccc(Br)c1)nc(OC3CCN(C(=O)OC(C)(C)C)CC3)s2>>c12c(cc(Br)cc1)sc(OC3CCN(c4nnc(C)s4)CC3)n2,"element: can not calculate valence of S (1 aromatic bonds, min connectivity 1, charge 0)"
4,c1(C#C)cccnc1.c1(scnc1C)C(N=N#N)CON(=O)=O.c1(scnc1C)C(N=N#N)CON(=O)=O.c1(C#C)cccnc1>>n1(nncc1c2cccnc2)C(CON(=O)=O)c3scnc3C.C(CON(=O)=O)(c1scnc1C)n2nnc(c3cccnc3)c2,Ignored this reaction
5,c1(CC(=O)O)c(F)cc(N)cc1F>>c12c(nccc1)cc(F)c(CN)c2F,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
6,c1(cc(C(=O)O)ccc1OCc2ccccc2)C(CCN(C(C)C)C(C)C)c3ccccc3.Cl>>[C@@H](C(=O)O)(OC(C)=O)c1ccccc1.[C@@H](CCN(C(C)C)C(C)C)(c2ccccc2)c3cc(CO)ccc3O,Ignored this reaction
7,[C@@H](C(=O)O)(OC(C)=O)c1ccccc1.[C@@H](CCN(C(C)C)C(C)C)(c2ccccc2)c3cc(CO)ccc3O>>[C@@H](CCN(C(C)C)C(C)C)(c1ccccc1)c2cc(CO)ccc2[O-].[Li+],Ignored this reaction
8,[C@@H](C(=O)O)(OC(C)=O)c1ccccc1.[C@@H](CCN(C(C)C)C(C)C)(c2ccccc2)c3cc(CO)ccc3O>>C(=O)(O)\C=C\C(=O)O.c1(cc(CO)ccc1OC(=O)C(C)C)[C@H](CCN(C(C)C)C(C)C)c2ccccc2,Ignored this reaction
9,C(F)(F)(F)C(=O)O.N(CCc1ccc(NC(=O)Nc2cnc(C#N)cn2)c(OC)c1)(Cc3ccc(F)cc3)C(=O)C(F)(F)F>>c1(ccc(CCNCc2ccc(F)cc2)cc1OC)NC(=O)Nc3cnc(C#N)cn3.Cl,Ignored this reaction
