,error_ractions,error_info
0,C([H])([H])(Cl)Cl.[W]12(I)(I)(C#O)(N#CC)(C(C)#C1C)C(C)#C2C.P(C)(C)CCP(C)C>>[W]12(I)(I)(C#O)(C(C)#C1C)[P](C)(C)CC[P]2(C)C,Ignored this reaction
1,c1(C)ccccc1.[Mn]2(C#O)(C#O)(C#O)=[Mn](C#O)(C#O)(C#O)([P](c3ccccc3)(c4ccccc4)C[P]2(c5ccccc5)c6ccccc6)([H])[H].c1(N=[C])ccc(C)cc1>>[Mn]12(C#O)(C#O)(C#O)N(c3ccc(C)cc3)=C[Mn]1(C#O)(C#O)(C#O)([P](c4ccccc4)(c5ccccc5)C[P]2(c6ccccc6)c7ccccc7)[H],Ignored this reaction
2,[Mo]12(Cl)(Cl)(N#O)([NH2]CC=C)(C3(C)=C14C)([C@]35C)C4(C)=C25C.C(C)(C)[N-]C(C)C.[Li+]>>[Mo]12(Cl)(N#O)(NCC=C)(C3(C)=C14C)([C@]35C)C4(C)=C25C,Ignored this reaction
3,[Mn]12(C#O)(C#O)(C#O)(C([H])([C@@]3([H])C[P@@+](c4ccccc4)(c5ccccc5)c6ccccc6)=C17[H])([C@@]38[H])C8([H])=C27[H].[P-](F)(F)(F)(F)(F)F.C(C)(C)[N-]C(C)C.[Li+]>>[Mn]12(C#O)(C#O)(C#O)([C@]3([H])[C@@]4([H])C([H])=C([H])[C@]5([H])C6([H])=C7([H])[Mn]68(C#O)(C#O)(C#O)(C7([H])=C89[H])[C@@]59[H])(C4([H])=C1%10[H])C3([H])=C2%10[H],Ignored this reaction
4,[Co+]12(C#O)(C#O)(C3([H])=C14[H])([C@@-]35[H])C4([H])=C25[H].c1(N=N#N)c(C)cccc1C>>[Co]12345(Nc(c(C)ccc6)c6N1c7c(C)cccc7C)[C@@H]([CH]2=[CH]38)[CH]4=[CH]58.[Co]12345(N(=NN=N1c6c(C)cccc6C)c7c(C)cccc7C)[CH](=[CH]2[CH]3=[CH]48)[C@H]58,Ignored this reaction
5,S(=O)([O-])(=O)[C@@](F)(F)F.C12([H])=C([H])(C=CC=C1O)[Os+2]2([NH3])([NH3])([NH3])([NH3])[NH3].c1(OC)ccc(C=O)cc1>>[Os+2]1([NH3])([NH3])([NH3])([NH3])([NH3])[CH](C=CC(=Cc2ccc(OC)cc2)C3=O)=[CH]13,Ignored this reaction
6,[Fe]12(C#O)(C#O)(C#O)[S]([S]13)[Fe]23(C#O)(C#O)C#O.N(B(Br)Br)(C(C)C)C(C)C>>[Fe]12(C#O)(C#O)(C#O)[S](B(N(C(C)C)C(C)C)[S]13)[Fe]23(C#O)(C#O)C#O,"element: bad valence on O having 3 drawn bonds, charge 0, and 0 radical electrons"
7,C1234([H])B567([H])B89([H])(B([H])(B58%10([H])B16%11%12[H])(B9%13%14([H])B2%15%16%17[H])(B%10%11%18([H])B3%12%15%19[H])C%13%16%18%19[H])B47%14%17[H].C(/I)=C\Cl>>C1234(\C([H])=C([H])\Cl)B567([H])B89([H])(B([H])(B58%10([H])B16%11%12[H])(B9%13%14([H])B2%15%16%17[H])(B%10%11%18([H])B3%12%15%19[H])C%13%16%18%19[H])B47%14%17[H],"element: bad valence on B having 5 drawn bonds, charge 0, and 0 radical electrons"
8,C1234([H])B567([H])B89([H])(B([H])(B58%10([H])B16%11%12[H])(B9%13%14([H])B2%15%16%17[H])(B%10%11%18([H])C3%12%15%19[H])B%13%16%18%19[H])B47%14%17[H].c1(C#CBr)ccccc1>>C1234(C#Cc5ccccc5)B678([H])B9%10([H])(B([H])(B69%11([H])B17%12%13[H])(B%10%14%15([H])B2%16%17%18[H])(B%11%12%19([H])C3%13%16%20[H])B%14%17%19%20[H])B48%15%18[H],"element: bad valence on B having 5 drawn bonds, charge 0, and 0 radical electrons"
9,C1(=O)C=CC(=O)O1.S(=O)(=O)([O-])C(F)(F)F.[Ru+]1234567([CH]8=[CH]19)([CH]8=[CH]2%10)([C@@](C)(C3(C)=C4%11C)C5(C)=C6%11C)C9(C=C(C=CC=C%12)C%12=C%13)=C7%10%13>>S([O-])(=O)(=O)C(F)(F)F.[Ru+]1234567(C8([H])=C19[H])(C8([H])=C2%10[H])(C(C)(=C3(C)C4(C)=C5%11C)[C@]6%11C)C9([C@@]([H])(c(cccc%12)c%12%13)[C@@]([H])(C(=O)OC%14=O)[C@@]%14%15[H])=C7%10[C@]%13%15[H],Ignored this reaction
10,C1(=O)C=CC(=O)O1.[Co]12(C(=C)C=C)(N3=CC=CC=C3)(N([O])=C(C)C(C)=N1O)N([O])=C(C)C(C)=N2O>>[Co]12(N3=CC=CC=C3)(N([O])=C(C)C(C)=N1O)(N([O])=C(C)C(C)=N2O)C4=CCC(C(=O)OC5=O)C5C4,"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
11,[Os]12(=O)(=O)(N(CC3)=Cc(cccc4)c4O1)N3=Cc(cccc5)c5O2.C(F)(F)(F)C(=O)O>>[C@](F)(F)(F)C([O-])=O.[Os+]12(N(CC3)=Cc(cccc4)c4O1)(N3=Cc(cccc5)c5O2)([P](c6ccccc6)(c7ccccc7)c8ccccc8)[P](c9ccccc9)(c%10ccccc%10)c%11ccccc%11,Ignored this reaction
12,[Rh]123([C@@]([H])([C@]4(C)C)C5=O)(C6(C)=C17C)([C@@]68C)(C7(C)=C28C)([C@H]49)[Rh]59%10%11(C%12(C)=C%10%13C)(C%12(C)=C%11%14C)([C@@]%13%14C)C3=O.C(F)(F)(F)C(=O)O>>[Rh]123456(C(C)(=C1(C)C2(C)=C37C)[C@]47C)([C@H]8[C@](C)(C)CC5=O)[Rh]89%10%11%12(OC(=O)[C@](F)(F)F)(C(C)(=C9(C)C%10(C)=C%11%13C)[C@]%12%13C)C6=O,"element: bad valence on C having 5 drawn bonds, charge 0, and 0 radical electrons"
13,[Mn]123(C#O)(C#O)(C4#O1)[Mn]4(C#O)(C#O)([P](c5ccccc5)(c6ccccc6)C[P]2(c7ccccc7)c8ccccc8)[P](c9ccccc9)(c%10ccccc%10)C[P]3(c%11ccccc%11)c%12ccccc%12.C(F)(F)(F)C(=O)O>>[C@@](F)(F)(F)C(=O)[O-].[Mn]12(C#O)(C#O)(C#O)[Mn+](C#O)(C#O)(C#O)([P](c3ccccc3)(c4ccccc4)C[P]1(c5ccccc5)c6ccccc6)([P](c7ccccc7)(c8ccccc8)C[P]2(c9ccccc9)c%10ccccc%10)[H].[H+],Ignored this reaction
14,[Mn]123(C#O)(C#O)([CH]4=[CH]15)([C@@H]46)([CH]5=[CH]26)C(=CC)[Mn]378(C#O)(C#O)([CH]9=[CH]7%10)([C@@H]9%11)[CH]%10=[CH]8%11.C(F)(F)(F)C(=O)O>>C(F)(F)(F)C([O-])=O.[Mn]123(C#O)(C#O)([CH]4=[CH]15)([CH]4=[CH]26)([C@@H]56)=C(CC)[Mn+]378(C#O)(C#O)([CH]9=[CH]7%10)([C@@H]9%11)[CH]%10=[CH]8%11,Ignored this reaction
15,[Pd]1(c2c(F)c(F)c(F)c(F)c2F)(O([H])[Pd](c3c(F)c(F)c(F)c(F)c3F)([P](c4ccccc4)(c5ccccc5)c6ccccc6)O1[H])[P](c7ccccc7)(c8ccccc8)c9ccccc9.c1(ccc(N)cc1)N(=O)=O>>[Pd]1(c2c(F)c(F)c(F)c(F)c2F)([OH][Pd](c3c(F)c(F)c(F)c(F)c3F)([P](c4ccccc4)(c5ccccc5)c6ccccc6)[NH]1c7ccc(N(=O)=O)cc7)[P](c8ccccc8)(c9ccccc9)c%10ccccc%10,"element: bad valence on O having 3 drawn bonds, charge 0, and 0 radical electrons"
16,[Mn]([H])(C#O)(C#O)(C#O)(C#O)C#O.B(F)(F)(F)F.[C+](c1ccccc1)(c2ccccc2)c3ccccc3>>[Mn](C#O)(C#O)(C#O)(C#O)(C#O)FB(F)(F)F,Ignored this reaction
17,[Fe+2]12([I-])(C#O)(C#O)([CH]3=[CH]14)([CH-]35)[CH]4=[CH]25.[Mo](C#O)(C#O)(C#O)(C#O)(C#O)[P]([H])(c1ccccc1)c2ccccc2>>[Fe]12(C#O)(C#O)(C3([H])=C14[H])([C@]35[H])(C4([H])=C25[H])[P](c6ccccc6)(c7ccccc7)[Mo](C#O)(C#O)(C#O)(C#O)C#O,"element: bad valence on O having 3 drawn bonds, charge 0, and 0 radical electrons"
18,[Ir]12(C)(Cl)(C#O)(C3(C)=C14C)([C@]35C)C4(C)=C25CC(=O)O.[C@H]1(O)C[C@@H](C)CC[C@H]1C(C)C>>[Ir]12(C)(Cl)(C#O)(C3(C)=C14C)([C@@]35C)C4(C)=C25CC(=O)O[C@]6([H])C[C@]([H])(C)CC[C@@]6([H])[C@@]([H])(C)C,"element: bad valence on C having 5 drawn bonds, charge 0, and 0 radical electrons"
19,[N+](C)(C)(C)C.[Cd]12(Sc3ccccc3)[S](c4ccccc4)[Cd-2](Sc5ccccc5)([S](c6ccccc6)[Cd](Sc7ccccc7)([S]8c9ccccc9)[S]1c%10ccccc%10)[S](c%11ccccc%11)[Cd]8(Sc%12ccccc%12)[S]2c%13ccccc%13.c1(ccccc1)I(Cl)Cl>>[N@@+](C)(C)(C)C.[Cd]12(Cl)[S](c3ccccc3)[Cd-2](Cl)([S](c4ccccc4)[Cd](Cl)([S]5c6ccccc6)[S]1c7ccccc7)[S](c8ccccc8)[Cd]5(Cl)[S]2c9ccccc9,Ignored this reaction
20,p1(Cl)(Cl)np(Cl)(Cl)np(Cl)(Cl)n1.[W-]12(C#O)(C#O)(C#O)([CH]3=[CH]14)([CH]3=[CH]25)[C@@H]45.[N@@+](CCCC)(CCCC)(CCCC)CCCC>>[W]12(I)(C#O)(C#O)(C#O)([C@@H]34)([CH]3=[CH]15)[CH]4=[CH]25.[W]12(C)(C#O)(C#O)(C#O)([C@@H]34)([CH]3=[CH]15)[CH]4=[CH]25.[W]12(Cl)(C#O)(C#O)(C#O)([C@@H]34)([CH]3=[CH]15)[CH]4=[CH]25.[W]12(C#O)(C#O)(C#O)([p@@]3(C)n[p@](Cl)(Cl)n[p@@](Cl)(Cl)n3)([CH]4=[CH]15)([C@H]46)[CH]5=[CH]26.[W]12(C#O)(C#O)(C#O)([p@]3(n[p@](Cl)(Cl)n[p@@](Cl)(Cl)n3)C4=CC=CC4)([CH]5=[CH]16)([C@H]57)[CH]6=[CH]27,Ignored this reaction
21,[Cr](Cl)(Cl)(O1CCCC1)O2CCCC2.c1(CN(C)C)ccccc1[Li]>>[Cr]12([N@@](C)(C)Cc(cccc3)c13)N(C)(C)Cc(cccc4)c24,SMILES loader: chirality not possible on atom #1
22,[W](Cl)(=Nc1ccccc1)(C[Si@@](C)(C)C)(C[Si@@](C)(C)C)C[Si@@](C)(C)C.c1(CN(C)C)ccccc1[Li]>>[W]1(=Nc2ccccc2)(=C[Si](C)(C)C)(C[Si](C)(C)C)[N@@](C)(C)Cc(cccc3)c13,SMILES loader: chirality not possible on atom #18
23,[Cr]1234([N@@](CC(=CC=C5)N1=C5)(CC(=CC=C6)N2=C6)CC(=CC=C7)N3=C7)O([H])[Cr+4]89%10([N@@](CC(C=CC=C%11)=N8%11)(CC(C=CC=C%12)=N9%12)CC(=CC=C%13)N%10=C%13)O4[H].Cl(=O)(=O)(=O)[O-].O([H])[H].C12(CC(CC(C3)C1)CC3C2)C(=O)O>>[Cr]1234(O[C]([C@]56C[C@]([H])(C[C@@]([H])(C7)C5)C[C@@]7([H])C6)O[Cr+3]89%10([N@](CC(C=CC=C%11)=N8%11)(CC(C=CC=C%12)=N9%12)CC(C=CC=C%13)=N%10%13)O1)[N@@](CC(C=CC=C%14)=N2%14)(CC(C=CC=C%15)=N3%15)CC(C=CC=C%16)=N4%16.Cl(=O)(=O)(=O)[O-].O([H])[H],Ignored this reaction
24,[Cr]12([H])(C#O)(C#O)(C#O)([CH]3=[CH]14)([CH]3=[CH]25)[C@@H]45.[Pd]1(c2ccccc2)([OH][Pd](c3ccccc3)([P](c4ccccc4)(c5ccccc5)c6ccccc6)[OH]1)[P](c7ccccc7)(c8ccccc8)c9ccccc9>>[Cr+2]12(C#O)(C#O)(C#O)([C-]3=CC=CC=C3)([CH]4=[CH]15)([CH-]46)[CH]5=[CH]26.[Pd]123([P](c4ccccc4)(c5ccccc5)c6ccccc6)(C78=O)(C9%10=O)([Cr]7%11%12([CH]%13=[CH]%11%14)([CH]%13=[CH]%12%15)([C@@H]%14%15)(C%16=O)(C1=O)[Pd]289%16%17%18[P](c%19ccccc%19)(c%20ccccc%20)c%21ccccc%21)[Cr]%10%17%22%23([CH]%24=[CH]%22%25)([CH]%24=[CH]%23%26)([C@@H]%25%26)(C%18=O)C3=O,Ignored this reaction
25,[Ru](C#O)(C#O)(C#O)(C#O)[P](c1ccccc1)(c2ccccc2)c3ccccc3.c1(ccccc1)C=CC(C)=O>>[Ru]12(C#O)(C#O)([P](c3ccccc3)(c4ccccc4)c5ccccc5)(C6([H])=C1([H])c7ccccc7)C6(C)=O2,"element: bad valence on O having 3 drawn bonds, charge 0, and 0 radical electrons"
26,[Re](C#O)(C#O)(C#O)(C#O)(N#CC)[Re](C#O)(C#O)(C#O)(C#O)C#O.C(=O)(OCC)C#CC(=O)OCC>>O#[C].C(=[C]\C(=O)OCC)(/C(=O)OCC)\[C-2](=[C]C(=O)OCC)C(=O)OCC.[Re+].[Re]1(C#O)(C#O)(C#O)(C#O)O=C(OC)C([Re](C#O)(C#O)(C#O)(C#O)C#O)=C1C(=O)OCC,Ignored this reaction
27,[Co]12(C(=C)C([H])=C)(N3=CC=CC=C3)(N([O])=C(C)C(C)=N1O)N([O])=C(C)C(C)=N2O.C(=O)(OCC)C#CC(=O)OCC>>[Co]12(N3=CC=CC=C3)(N([O])=C(C)C(C)=N1O)(N([O])=C(C)C(C)=N2O)C4=CCC(C(=O)OCC)=C(C(=O)OCC)C4,"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
28,c1(cnccn1)c2cnccn2.C1(=CC([C@@](C)(C)C)=C[C]([O-])C1=O)[C@@](C)(C)C.[Co+2]>>[Co]123(O[C](C=C([C@](C)(C)C)C=C4[C@](C)(C)C)C4=O1)(O[C](C=C([C@](C)(C)C)C=C5[C@](C)(C)C)C5=O2)N(=C6)C(=CN=C6)C(=CN=C7)N3=C7,Ignored this reaction
29,[K+](O(CC1)CC2)(O1CC3)(O2CC4)(O3CC5)(O4CC6)O56.[Cr](C#O)(C#O)(C#O)(C#O)(C#O)=C([O-])\C=C(\[O-])/c7ccccc7.S(=O)(=O)(O[Si](C)(C)C)C(F)(F)F>>[Cr](C#O)(C#O)(C#O)(C#O)(C#O)=C(O[Si](C)(C)C)\C=C(/O[Si](C)(C)C)\c1ccccc1,Ignored this reaction
30,c1(C)ccccc1.[Zr](Cl)(Cl)(N(C(C(CC)=C2CC)=C3)C2=C4)(n(c5c(CC)c6CC)c67)(N(=C3C(CC)=C8CC)C8=C5)N(=C4C(CC)=C9CC)C9=C7.S(=O)(=O)(O[Si](C)(C)C)C(F)(F)F>>[Zr](OS(=O)(=O)[C@](F)(F)F)(OS(=O)(=O)[C@](F)(F)F)(n(c1c(CC)c2CC)c23)(N(C(C(CC)=C4CC)=C5)C4=C6)(N(C(=C1)C(CC)=C7CC)=C57)N(C(=C3)C(CC)=C8CC)=C68,Ignored this reaction
31,[N+](CCCC)(CCCC)(CCCC)CCCC.[Re-]12(Cl)(C#N)([P](CC[P]1(c3ccccc3)c4ccccc4)(c5ccccc5)c6ccccc6)[P](CC[P]2(c7ccccc7)c8ccccc8)(c9ccccc9)c%10ccccc%10.S(=O)(=O)(O[Si](C)(C)C)C(F)(F)F>>C([H])([H])(Cl)Cl.[Re]12([H])(=C=NC)([P](CC[P]1(c3ccccc3)c4ccccc4)(c5ccccc5)c6ccccc6)[P](CC[P]2(c7ccccc7)c8ccccc8)(c9ccccc9)c%10ccccc%10,Ignored this reaction
32,[K+](O(CC1)CC2)(O1CC3)(O2CC4)(O3CC5)(O4CC6)O56.[W](C#O)(C#O)(C#O)(C#O)(C#O)=C([O-])C=C([O-])c7ccccc7.S(=O)(=O)(O[Si](C)(C)C)C(F)(F)F>>[W](C#O)(C#O)(C#O)(C#O)(C#O)=C(\C=C(\c1ccccc1)/O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C,Ignored this reaction
33,[Cr]123(C#O)(C#O)(C#O)([CH]4=[CH]15)([CH]4=[CH]26)[CH]5=C36SC.C(C)(C)(OO)c1ccccc1>>[Cr]123(C#O)(C#O)(C#O)([CH]4=[CH]15)([CH]4=[CH]26)[CH]5=C36S(C)(=O)=O,"element: bad valence on C having 5 drawn bonds, charge 0, and 0 radical electrons"
34,[Cr]123(C#O)(C#O)(C#O)([CH]4=[CH]15)([CH]6=C24OC)[CH]6=C35SC.C(C)(C)(OO)c1ccccc1>>[Cr]123(C#O)(C#O)(C#O)([CH]4=C15OC)([CH]5=[CH]26)[CH]4=C36S(C)(=O)=O,"element: bad valence on C having 5 drawn bonds, charge 0, and 0 radical electrons"
35,c1(NC)ccccn1.[Cr](Cl)(Cl)(O1CCCC1)O2CCCC2.C[Li].c1(NC)ccccn1.c1(NC)ccccn1.C[Li].C[Li].C[Li].C[Li].C[Li]>>O1CCCC1.[Cr]2345[Cr](N(C)C(C=CC=C6)=N26)(N(C)C(C=CC=C7)=N37)(N8=C(C=CC=C8)N4C)N9=C(C=CC=C9)N5C,Ignored this reaction
36,c12c(nnn1C)cccc2.O([H])[H].Cl.Cl.[Co].c12c(nnn1C)cccc2>>c12c(nnn1C)cccc2.[Co-2](Cl)(Cl)(Cl)Cl.[H+],Ignored this reaction
37,c12c(nnn1C)cccc2.Br.Br.[Co]>>[Co](Br)(Br)(N1=NN(C)c(cccc2)c12)N3=NN(C)c(cccc4)c34,Ignored this reaction
38,[Rh]1234([C@]56C)(C5(C)=C17C)(C6(C)=C27C)=[Rh]89([C@@]%10%11C)(C%10(C)=C8%12C)(C%11(C)=C9%12C)(C3=O)C4=O.C1(=N#N)C(Cl)=C(Cl)C(Cl)=C1Cl>>[Rh]123456([C@](C)(C1(C)=C27C)C3(C)=C47C)=[Rh]89%10%11(C(C)(=C8(C)C9(C)=C%10%12C)[C@@]%11%12C)(C5=O)[C@@]6%13C(Cl)=C(Cl)C(Cl)=C%13Cl,"element: bad valence on C having 5 drawn bonds, charge 0, and 0 radical electrons"
39,[Si](C)(C)(C)P([Si](C)(C)C)[Si](C)(C)C.B(C)(C)Br>>B1(C)(C)[P]([Si](C)(C)C)([Si](C)(C)C)B(C)(C)[P]1([Si](C)(C)C)[Si](C)(C)C,"element: bad valence on B having 4 drawn bonds, charge 0, and 0 radical electrons"
40,[Sn](Cl)(Cl)(CCCC)CCCC.C(C)(C)OC([S-])=S.[K+].C(C)(C)OC([S-])=S.[K+]>>[Sn]12(CCCC)(CCCC)([S]=C(O[C@@H](C)C)S1)SC(O[C@H](C)C)=[S]2,Ignored this reaction
41,[B@@-](F)(F)(F)F.[Pt](N#Cc1ccccc1)([C@@](F)(F)F)([P](c2ccccc2)(c3ccccc3)c4ccccc4)[P@@+](c5ccccc5)(c6ccccc6)c7ccccc7.C(CO)CCl>>[Pt](Cl)([C@@](F)(F)F)([P](c1ccccc1)(c2ccccc2)c3ccccc3)[P](c4ccccc4)(c5ccccc5)c6ccccc6.[B@@-](F)(F)(F)F.C([H])([H])(Cl)Cl.[Pt+]([C@@](F)(F)F)(N1=C(OCCC1)c2ccccc2)([P](c3ccccc3)(c4ccccc4)c5ccccc5)[P](c6ccccc6)(c7ccccc7)c8ccccc8,Ignored this reaction
42,[Mn]12(C#O)(C#O)(C#O)(C#O)C(=C(C)C(N(C)C)=O1)[Mn]2(C#O)(C#O)(C#O)C#O.C(#CC)N(C)C>>[Mn]123(C#O)(C#O)(C#O)[C@@]4(C(C)(C(N(C)C)=O1)\C(=N(\C)/C)\[C@@]24C)[Mn]3(C#O)(C#O)(C#O)C#O,"element: bad valence on O having 3 drawn bonds, charge 0, and 0 radical electrons"
43,O(CC)CC=C.[B@@-](c1ccccc1)(c2ccccc2)(c3ccccc3)c4ccccc4.[Zr]56789%10%11%12%13(O%14CCCC%14)(c(cccc%15c%16ccccc%16)[n+]5%15)([CH](=[CH]6[CH]7=[CH]8%17)[C@H]9%17)[CH](=[CH]%10[C@H]%11%18)[CH]%12=[CH]%13%18>>[B@@-](c1ccccc1)(c2ccccc2)(c3ccccc3)c4ccccc4.[Zr]56789%10%11%12%13(CC(COCC)c(cccc%14c%15ccccc%15)[n+]5%14)([CH](=[CH]6[CH]7=[CH]8%16)[C@H]9%16)[CH](=[CH]%10[CH]%11=[CH]%12%17)[C@H]%13%17,Ignored this reaction
44,c1(O)ccc(C)cc1.[Re]1(C#O)(C#O)(C#O)(OCC)[P](CC)(CC)CC[P]1(CC)CC>>c1(O)ccc(C)cc1.[Re]2(C#O)(C#O)(C#O)(OCC)[P](CC)(CC)CC[P]2(CC)CC,Ignored this reaction
45,c1(Br)ccsc1.B(F)(F)(F)F.[O+](C)(C)C.[Mo](=C=O)(=C=O)(=C=O)(=C=O)(=C=O)=C=O>>[Mo](C#O)(C#O)(C#O)(C#O)(C#O)=C(OC)c1ccsc1,Ignored this reaction
46,O([H])[H].Cl.Cl.[Co].C(=O)(O)CCC(=O)O>>[Co+2]([NH](CC1)C(=O)CCC2=O)([NH]1C(=O)CCC3=O)([NH]2CC4)[NH]34.[Cl-],Ignored this reaction
47,O([Si](C)(C)C)\C(\OC)=C(\C)/C.[B@@-](F)(F)(F)F.[Pt+]12([CH](C1)=[CH]2C)([P](c3ccccc3)(c4ccccc4)c5ccccc5)[P](c6ccccc6)(c7ccccc7)c8ccccc8>>[Pt]1(CC(C(C)(C)C(=O)OC)C1C)([P](c2ccccc2)(c3ccccc3)c4ccccc4)[P](c5ccccc5)(c6ccccc6)c7ccccc7,Ignored this reaction
48,[Mo]12(=O)(=O)(O=C(C)C=C(C)O1)O=C(C)C=C(C)O2.[V](=O)(OC(C)C)(OC(C)C)OC(C)C.C(C)[O-].[Mg+2]>>[Mg].[Mg].[Mo].O.O.O.O.O.O.[V],Ignored this reaction
49,[Ni]12(N(CC(=O)O1)=C(c3ccccc3)c(cccc4)c45)N5C(=O)[C@H](CCC6)N26Cc7ccccc7.c1(C=O)ccccc1F>>[Ni]12(N3C(=O)[C@]([H])(CCC4)[N@@]14Cc5ccccc5)N([C@]([H])([C@@]([H])(O)c6ccccc6F)C(=O)O2)=C(c7ccccc7)c(cccc8)c38.[Ni]12(N3C(=O)[C@]([H])(CCC4)[N@@]14Cc5ccccc5)N([C@@]([H])([C@]([H])(O)c6ccccc6F)C(=O)O2)=C(c7ccccc7)c(cccc8)c38,Ignored this reaction
50,c1(cnccn1)C(N)=O.[Gd](Cl)(Cl)Cl.O([H])[H]>>c1(cnccn1)C(N)=O.[Cl-].[Gd+3],Ignored this reaction
